# Y-M-D   T H:M:S     ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL
2019-11-05T04:33:16    85877  SEQ        Calibration  Cal         Region_D-E                2018-S1-MU-46                  115.2712  -296       5.1   10.307333  41.067611  351.4  67.5  0 0
2019-11-05T04:33:42    85878  SEQ        Science      Map(Ra/C)   Region_D-E                2018-S1-MU-46                  115.2712  -296    2847.6   10.307333  41.067611  350.9  67.5  0 0
2019-11-05T05:25:35    85879  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  318.4  58.7  237.6 0
2019-11-05T05:25:56    85880  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      78.8    1.083633  40.109953  318.3  58.6  237.6 0
2019-11-05T05:30:10    85881  SEQ        Calibration  Cal         Region_H                  2018-S1-MU-46                  115.2712  -296       5.0   11.026375  41.604564  330.1  62.7  0 0
2019-11-05T05:30:36    85882  SEQ        Science      Map(Ra/C)   Region_H                  2018-S1-MU-46                  115.2712  -296    1297.5   11.026375  41.604564  329.7  62.5  0 0
2019-11-07T04:06:31    86087  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  342.4  67.5  237.6 0
2019-11-07T04:06:52    86088  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      76.8    1.083633  40.109953  341.7  67.4  237.6 0
2019-11-07T04:10:11    86089  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                   88.9100  -270       5.1   10.648750  41.513700  359.4  67.4  0 0
2019-11-07T04:10:37    86090  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                   88.9100  -270    1297.5   10.648750  41.513700  359.1  67.4  0 0
2019-11-07T04:35:38    86091  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  330.1  64.6  237.6 0
2019-11-07T04:35:59    86092  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      77.3    1.083633  40.109953  329.9  64.5  237.6 0
2019-11-07T04:39:38    86093  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                   88.9100  -270       5.0   10.648750  41.513700  345.7  66.5  0 0
2019-11-07T04:40:03    86094  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                   88.9100  -270    1297.5   10.648750  41.513700  345.2  66.4  0 0
2019-11-07T05:04:42    86095  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  321.4  60.7  237.6 0
2019-11-07T05:05:04    86096  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      77.2    1.083633  40.109953  321.3  60.6  237.6 0
2019-11-07T05:08:47    86097  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                   88.9100  -270       5.0   10.648750  41.513700  334.0  64.1  0 0
